rowID;studyID;armID;study_name;manga;study_year;pub_year;drug_name;Ntotal;Published;age_mean;age_sd;_Female;Dosing_schedule;Dose_range;Sponsoredbythisdrugcompanyo;Investigational_Comparator;ascale;baseline_mean;V;mean_efficacy;Imputation;Responders;IMPUTEDresp;Unpublished;Recruitment;type;Patient_status;Placebo_run_in;weeks;Rescue_med;Sequence_generation;Allocation_concealment;Blinding_participant;Blinding_therapist;Blinding_assessor;AP;Selective_reporting_bias;dropoutSTUDY;dropoutARM;dropoutDIFF;OverallRoB;PLAresp;Narms;PLAprop;Overall_arm_RoB
a20;8;1;Hale2010 (CL3-20098-045);0;2008;2008;Agomelatine;252;R can come both from pub and unpub data and match;41,8;11,2;0,77;Flexible;Licensed;Yes;Investigational;HAMD17;28,5;8;-17,3;LOCF;177;0;Yes;;Multi-center;Outpatients only;No;24;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,119047619;0,034350439;Low risk;;2;0;Moderate risk
a21;8;2;Hale2010 (CL3-20098-045);0;2008;2008;Fluoxetine;263;R can come both from pub and unpub data and match;42,7;11,9;0,783;Flexible;Licensed;No;Comparator;HAMD17;28,7;8;-16;LOCF;164;0;Yes;;Multi-center;Outpatients only;No;24;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,153398058;0,186311787;0,032913729;Low risk;;2;0;Low risk
a24;10;1;Montgomery2004b (CL3-20098-030);0;2001;2001;Agomelatine;167;Inadequate pub data and R from unpub data;42,8;13,5;;Fixed;Licensed;Yes;Investigational;MADRS;23,1;12;-11,9;Others;106;0;Yes;;Multi-center;Outpatients only;No;12;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,209580838;0,000625614;Low risk;;2;0;Moderate risk
a25;10;2;Montgomery2004b (CL3-20098-030);0;2001;2001;Paroxetine;168;Inadequate pub data and R from unpub data;42,1;13,4;;Fixed;Licensed;No;Comparator;MADRS;23;12;-14;Others;120;0;Yes;;Multi-center;Outpatients only;No;12;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,208955224;0,208333333;0,000621891;Low risk;;2;0;Low risk
a26;11;1;CL3-20098-036;0;2004;2004;Agomelatine;137;No pub data and R from unpub data;39,6;10,3;0,718;Fixed;Licensed;Yes;Investigational;MADRS;27,9;12;-17,8;Others;113;0;Yes;;Multi-center;Outpatients only;No;24;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,124087591;0,031147066;Low risk;;2;0;Moderate risk
a27;11;2;CL3-20098-036;0;2004;2004;Venlafaxine;140;No pub data and R from unpub data;42,1;10;0,718;Flexible;Licensed;No;Comparator;MADRS;27,9;12;-18,1;Others;111;0;Yes;;Multi-center;Outpatients only;No;24;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,155234657;0,185714286;0,030479629;Low risk;;2;0;Low risk
a28;12;1;CL3-20098-048;0;2008;2008;Agomelatine;213;No pub data and R from unpub data;68,6;6,2;;Flexible;Licensed;Yes;Investigational;HAMD17;26,3;12;-14;Others;127;0;Yes;;Multi-center;Outpatients only;No;24;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,244131455;0,00344136;Low risk;;2;0;Moderate risk
a29;12;2;CL3-20098-048;0;2008;2008;Paroxetine;199;No pub data and R from unpub data;68,3;6,2;;Flexible;Licensed;No;Comparator;HAMD17;26,2;12;-14,5;Others;118;0;Yes;;Multi-center;Outpatients only;No;24;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,247572816;0,251256281;0,003683466;Low risk;;2;0;Low risk
a30;13;1;Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ;0;2008;2014;Agomelatine;314;R can come both from pub and unpub data and match;39,2;12,8;0,682;Flexible;Licensed;Yes;Investigational;HAMD17;26,8;8;12;LOCF;205;0;Yes;Asia;Multi-center;Outpatients only;No;8;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,222929936;0,007961783;Low risk;;2;0;Moderate risk
a31;13;2;Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ;0;2008;2014;Fluoxetine;314;R can come both from pub and unpub data and match;38,9;12,6;0,707;Flexible;Licensed;No;Comparator;HAMD17;26,8;8;11,8;LOCF;209;0;Yes;Asia;Multi-center;Outpatients only;No;8;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,23089172;0,238853503;0,007961783;Low risk;;2;0;Low risk
a32;14;1;Quera-Salva2010 (CL3-20098-056);0;2008;2010;Agomelatine;71;R can come both from pub and unpub data and match;41,3;12,4;;Flexible;Licensed;Yes;Investigational;HAMD17;26,1;6;11,4;Others;44;0;Yes;;Multi-center;Outpatients only;No;25;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;;0,084507042;0,016942233;Low risk;;2;0;Moderate risk
a33;14;2;Quera-Salva2010 (CL3-20098-056);0;2008;2010;Escitalopram;67;R can come both from pub and unpub data and match;41,4;10,7;;Flexible;Licensed;No;Comparator;HAMD17;26,1;6;12,7;Others;36;0;Yes;;Multi-center;Outpatients only;No;25;No;Low risk of bias;Low risk of bias;Stated but not tested;Stated but not tested;Unclear risk of bias;Low risk of bias;Low risk of bias;0,101449275;0,119402985;0,01795371;Low risk;;2;0;Low risk
